slug,name,kind,difficulty,domain,definition,aliases,courses,units,n_units,n_courses,degree,occurrence_count,files
confusion-matrix,Confusion Matrix,tool,2,machine-learning,"The table of predicted against actual classes, from which most classification metrics are derived.",,ML,ML-M6,1,1,4,1,source/Syllabus_Machine_Learning.pdf
continuity,Continuity on a Closed Interval,definition,3,calculus,"A function is continuous on a closed interval when small changes of argument produce small changes of value throughout it, which guarantees strong global properties.",continuous function,CALC,CALC-L04,1,1,4,1,source/Syllabus_Calculus.pdf
convergence-of-series,Convergence of a Series,definition,3,calculus,A series converges when its partial sums approach a finite limit.,,CALC,CALC-L14,1,1,4,1,source/Syllabus_Calculus.pdf
convergence-tests,Tests for Convergence,method,4,calculus,"The standard criteria — comparison, ratio, root, integral — for deciding convergence without summing.",convergence criteria,CALC,CALC-L14,1,1,2,1,source/Syllabus_Calculus.pdf
convergent-sequence,Convergent Sequence,definition,2,calculus,A sequence that has a finite limit; such sequences are bounded and their limits respect arithmetic.,properties of convergent sequences,CALC,CALC-L01,1,1,1,1,source/Syllabus_Calculus.pdf
convexity,Convexity,definition,3,calculus,A function is convex when its graph lies below its chords; convexity is what makes minimisation well behaved.,concavity,CALC,CALC-L09,1,1,5,1,source/Syllabus_Calculus.pdf
convolution-operation,Convolutional Operation,method,4,machine-learning,Sliding a shared small filter across the input so that the same local pattern is detected anywhere.,,ML,ML-M3,1,1,2,1,source/Syllabus_Machine_Learning.pdf
cross-validation,Cross-Validation,method,3,machine-learning,Rotating the held-out fold over the data to get a more stable performance estimate.,CV algorithm,ML,ML-M1,1,1,3,1,source/Syllabus_Machine_Learning.pdf
curse-of-dimensionality,The Curse of Dimensionality,principle,4,machine-learning,"In high dimensions data becomes sparse and distances lose contrast, undermining methods that rely on proximity.",,ML,ML-M2,1,1,3,1,source/Syllabus_Machine_Learning.pdf
data-augmentation,Data Augmentation,method,3,machine-learning,Enlarging the training set with label-preserving transformations of existing examples.,,ML,ML-M4,1,1,1,1,source/Syllabus_Machine_Learning.pdf
data-compression,Data Compression,method,3,machine-learning,Representing data with fewer numbers while preserving what matters.,,ML,ML-M2,1,1,3,1,source/Syllabus_Machine_Learning.pdf
dbscan,DBSCAN,method,4,machine-learning,Density-based clustering that finds arbitrarily shaped clusters and labels sparse points as noise.,,ML,ML-M2,1,1,2,1,source/Syllabus_Machine_Learning.pdf
decision-tree,Decision Tree,method,2,machine-learning,A predictor that splits the feature space by recursive threshold questions.,,ML,ML-M1,1,1,4,1,source/Syllabus_Machine_Learning.pdf
deep-learning,Deep Learning,definition,4,machine-learning,Learning with many-layered networks that build their own representations of the input.,,ML,ML-M3,1,1,3,1,source/Syllabus_Machine_Learning.pdf
definite-integral,Definite Integral,definition,3,calculus,"A number attached to a function on an interval, interpretable as signed area under its graph.",,CALC,CALC-L12,1,1,7,1,source/Syllabus_Calculus.pdf
derivative,Derivative,definition,2,calculus,"The instantaneous rate of change of a function, defined as the limit of its difference quotient.",derivatives,CALC,CALC-L05,1,1,7,2,source/Syllabus_Calculus.pdf
determinant,Determinant,definition,4,linear-algebra,A single number computed from a square matrix that reports whether the matrix is invertible: a zero determinant means the transformation collapses space and cannot be undone.,determinant of a matrix,LA,LA-M5U2|LA-M6U1|LA-M7U1,3,1,7,4,source/Syllabus_Linear_Algebra.pdf
determinant-geometric-interpretation,Geometric Meaning of the Determinant,principle,4,linear-algebra,"For a 2×2 matrix the determinant is the signed area of the parallelogram spanned by its columns, so its magnitude is the area scaling factor and its sign records whether orientation is flipped.",geometrical approach to the determinant,LA,LA-M5U2|LA-M6U1,2,1,4,2,source/Syllabus_Linear_Algebra.pdf
differentiable-function,Differentiable Function,definition,3,calculus,A function possessing a derivative at every point of an interval; differentiability implies continuity.,differentiable functions,CALC,CALC-L06,1,1,3,1,source/Syllabus_Calculus.pdf
differential,Differential of a Function,definition,3,calculus,"The linear part of a function's increment, the formal expression of local linear approximation.",,CALC,CALC-L07,1,1,2,1,source/Syllabus_Calculus.pdf
differentiation-rules,Differentiation Rules,method,2,calculus,"The algebraic rules — sum, product, quotient and chain — that let derivatives be computed without returning to the limit.",chain rule|product rule,CALC,CALC-L05,1,1,4,1,source/Syllabus_Calculus.pdf
domain-of-convergence,Domain of Convergence,definition,4,calculus,The set of arguments for which a power series converges.,domains of convergence,CALC,CALC-L15,1,1,2,1,source/Syllabus_Calculus.pdf
dropout,Dropout,method,3,machine-learning,Randomly disabling units during training so the network cannot rely on any single path.,,ML,ML-M4,1,1,2,1,source/Syllabus_Machine_Learning.pdf
elementary-row-operations,Elementary Row Operations,method,2,linear-algebra,"The three reversible moves on a matrix — swapping two rows, scaling a row by a non-zero number, and adding a multiple of one row to another — that change the matrix without changing the solution set of the system it represents.",row operations,LA,LA-M1U2|LA-M2U2,2,1,5,2,source/Syllabus_Linear_Algebra.pdf
ensemble-learning,Ensemble Learning,framework,4,machine-learning,Combining several models so their errors partly cancel and the whole beats any part.,,ML,ML-M5,1,1,5,1,source/Syllabus_Machine_Learning.pdf
epsilon-delta-definition,Cauchy (ε–δ) Definition of a Limit,definition,3,calculus,The formal definition: for every ε there is a δ such that arguments within δ of the point map to values within ε of the limit.,Cauchy definition|epsilon-delta,CALC,CALC-L02,1,1,2,1,source/Syllabus_Calculus.pdf
euler-diagram,Euler Diagram,tool,1,probability,"A picture of sets as regions, used to reason about their overlaps.",Euler diagrams|Venn diagram,PROB,PROB-P04,1,1,1,1,source/Syllabus_Probability_essentials.pdf
event,Event,definition,2,probability,"A subset of the event space, so that operations on events are operations on sets.",events,PROB,PROB-P08,1,1,4,1,source/Syllabus_Probability_essentials.pdf
event-space,Event Space,definition,2,probability,"The set of all possible outcomes of an experiment, the universe in which probability is defined.",sample space,PROB,PROB-P08,1,1,3,2,source/Syllabus_Probability_essentials.pdf
expected-value,Expected Value,metric,3,probability,"The probability-weighted average of a random variable, its long-run mean.",expectation|mean,PROB,PROB-P15,1,1,6,1,source/Syllabus_Probability_essentials.pdf
f1-score,F1 / Dice Score,metric,3,machine-learning,"The harmonic mean of precision and recall, a single number balancing the two.",Dice|F1,ML,ML-M6,1,1,3,1,source/Syllabus_Machine_Learning.pdf
feedforward-network,Feed-Forward Network,framework,4,machine-learning,A network of neuron layers passing signals in one direction from input to output.,feed-forward,ML,ML-M3,1,1,4,1,source/Syllabus_Machine_Learning.pdf
function-graphing,Graphing Functions,method,2,calculus,"Assembling limits, derivatives and convexity into a full qualitative picture of a function's graph.",curve sketching,CALC,CALC-L09,1,1,2,1,source/Syllabus_Calculus.pdf
gaussian-elimination,Jordan–Gauss Method (Gaussian Elimination),method,2,linear-algebra,"The systematic procedure of applying elementary row operations to bring a matrix to row-echelon form, and thereby to solve a system of linear equations by a fixed algorithm rather than ad-hoc tricks.",Gaussian elimination|Jordan-Gauss method|Jordan–Gauss elimination,LA,LA-M1U3|LA-M2U2|LA-M7U1,3,1,9,4,source/Syllabus_Linear_Algebra.pdf
geometric-transformation-matrix,Geometric Transformations as Matrices,framework,4,linear-algebra,"The correspondence between matrices and geometric motions of the plane: applying a matrix to the coordinate vectors of a figure moves the figure, so composing motions becomes multiplying matrices.",matrix transformations,LA,LA-M6U2|LA-M7U1,2,1,11,3,source/Syllabus_Linear_Algebra.pdf
heine-definition,Heine (Sequential) Definition of a Limit,definition,3,calculus,An equivalent definition of a function limit stated through the limits of all sequences approaching the point.,sequence definition of a limit,CALC,CALC-L02,1,1,2,1,source/Syllabus_Calculus.pdf
hierarchical-clustering,Hierarchical Clustering,method,3,machine-learning,Building a nested tree of clusters by repeatedly merging or splitting groups.,H-clustering,ML,ML-M2,1,1,2,1,source/Syllabus_Machine_Learning.pdf
higher-order-derivative,Higher-Order Derivative,definition,3,calculus,The result of differentiating repeatedly; the second derivative measures curvature.,second derivative,CALC,CALC-L07,1,1,4,1,source/Syllabus_Calculus.pdf
holistic-evaluation,Holistic View of Evaluation,principle,4,machine-learning,"Judging a model by the whole picture of metrics, baselines and error structure rather than one score.",holistic view,ML,ML-M6,1,1,6,1,source/Syllabus_Machine_Learning.pdf
improper-integral,Improper Integral,definition,4,calculus,"An integral over an unbounded interval or of an unbounded function, defined as a limit of ordinary integrals.",improper integrals,CALC,CALC-L13,1,1,2,1,source/Syllabus_Calculus.pdf
indefinite-integral,Indefinite Integral,definition,3,calculus,"The family of all antiderivatives of a function, differing by a constant.",,CALC,CALC-L10,1,1,2,1,source/Syllabus_Calculus.pdf
independent-events,Independent Events,definition,3,probability,Events where knowing one occurred does not change the probability of the other.,,PROB,PROB-P11,1,1,2,1,source/Syllabus_Probability_essentials.pdf
integration-by-parts,Integration by Parts,method,3,calculus,Trading one integral for another using the product rule in reverse.,integrating by parts,CALC,CALC-L11,1,1,1,1,source/Syllabus_Calculus.pdf
integration-by-substitution,Integration by Substitution,method,3,calculus,Changing variable in an integral so that it matches a known antiderivative; the chain rule reversed.,substitution,CALC,CALC-L10,1,1,1,1,source/Syllabus_Calculus.pdf
intermediate-value-theorem,Cauchy's Intermediate Value Theorem,principle,3,calculus,A function continuous on a closed interval attains every value between its endpoint values.,IVT,CALC,CALC-L04,1,1,2,1,source/Syllabus_Calculus.pdf
inverse-2x2-formula,Explicit Inverse Formula for a 2×2 Matrix,method,3,linear-algebra,"The closed-form expression that gives the inverse of a 2×2 matrix directly from its four entries and its determinant, with no elimination needed.",2x2 inverse formula,LA,LA-M4U2|LA-M6U1,2,1,4,2,source/Syllabus_Linear_Algebra.pdf
inverse-matrix,Inverse Matrix,definition,4,linear-algebra,The matrix that undoes another: multiplying a matrix by its inverse gives the identity. It exists only for square matrices that are non-degenerate.,matrix inverse,LA,LA-M4U2|LA-M6U1|LA-M7U1,3,1,8,3,source/Syllabus_Linear_Algebra.pdf
inverse-via-jordan-gauss,Finding an Inverse by the Jordan–Gauss Method,method,4,linear-algebra,Computing an inverse by row-reducing the matrix alongside the identity until the original becomes the identity and the identity becomes the inverse.,inverse by row reduction,LA,LA-M4U2|LA-M6U1,2,1,4,3,source/Syllabus_Linear_Algebra.pdf
k-means,K-Means,method,3,machine-learning,Partitioning data into k clusters by alternately assigning points to nearest centroids and recomputing them.,,ML,ML-M2,1,1,4,1,source/Syllabus_Machine_Learning.pdf
knn,K-Nearest Neighbours,method,2,machine-learning,"Predicting from the labels of the closest training examples, with no explicit training step.",KNN,ML,ML-M1,1,1,4,1,source/Syllabus_Machine_Learning.pdf
l1-regularization,L1 Regularization,method,4,machine-learning,"Penalising the sum of absolute weights, which drives some exactly to zero and selects features.",,ML,ML-M4,1,1,2,1,source/Syllabus_Machine_Learning.pdf
l2-regularization,L2 Regularization,method,4,machine-learning,"Penalising the sum of squared weights, shrinking them smoothly toward zero.",,ML,ML-M4,1,1,3,1,source/Syllabus_Machine_Learning.pdf
lagrange-mean-value-theorem,Lagrange Mean Value Theorem,principle,3,calculus,On any interval a differentiable function has a point whose derivative equals the average rate of change across the interval.,mean value theorem,CALC,CALC-L06,1,1,2,1,source/Syllabus_Calculus.pdf
lhopitals-rule,L'Hôpital's Rule,method,3,calculus,A technique for evaluating indeterminate limits by differentiating numerator and denominator separately.,,CALC,CALC-L08,1,1,1,1,source/Syllabus_Calculus.pdf
limit-of-function,Limit of a Function at a Point,definition,2,calculus,"The value a function approaches as its argument approaches a given point, independently of the value at that point.",function limit,CALC,CALC-L02,1,1,8,1,source/Syllabus_Calculus.pdf
limit-of-sequence,Limit of a Sequence,definition,2,calculus,The value a sequence approaches arbitrarily closely as the index grows without bound.,sequence limit,CALC,CALC-L01,1,1,7,1,source/Syllabus_Calculus.pdf
linear-equation,Linear Equation,definition,1,linear-algebra,An equation in which every unknown appears only to the first power and is not multiplied by another unknown. It is the atom the whole course is built from.,linear equations,LA,LA-M1U1,1,1,1,1,source/Syllabus_Linear_Algebra.pdf
linear-model-thinking,Thinking in Terms of Linear Models,principle,2,linear-algebra,"The habit the course is ultimately aiming at: recognising when a situation with many quantities changing at once can be posed and solved linearly, rather than memorising procedures.",linear models,LA,LA-M7U1,1,1,7,1,source/Syllabus_Linear_Algebra.pdf
linear-regression,Linear Regression,method,2,machine-learning,Fitting a linear function of the features by minimising squared error.,,ML,ML-M1,1,1,6,1,source/Syllabus_Machine_Learning.pdf
linear-space,Linear Space (Vector Space),definition,3,linear-algebra,The abstract setting in which addition and scalar multiplication obey a fixed list of rules; recognising it is what lets the same reasoning transfer from arrows to data tables to functions.,vector space,LA,LA-M2U3|LA-M4U1,2,1,5,2,source/Syllabus_Linear_Algebra.pdf
little-o-notation,Little-o Notation,definition,3,calculus,A notation stating that one function is asymptotically negligible relative to another.,little-o,CALC,CALC-L03,1,1,2,1,source/Syllabus_Calculus.pdf
logical-operations,Logical Operations,method,1,probability,"Negation, conjunction, disjunction and implication, which combine propositions into compound statements.",,PROB,PROB-P02,1,1,4,1,source/Syllabus_Probability_essentials.pdf
logical-proposition,Logical Proposition,definition,1,probability,"A statement that is definitely either true or false, the atom of formal reasoning.",true/false propositions,PROB,PROB-P01,1,1,1,1,source/Syllabus_Probability_essentials.pdf
maclaurin-series,Maclaurin Series,definition,4,calculus,The Taylor series taken at zero.,,CALC,CALC-L15,1,1,1,1,source/Syllabus_Calculus.pdf
matrix,Matrix,definition,1,linear-algebra,"A rectangular table of numbers arranged in rows and columns, used to store coefficients, data sets or transformations compactly.",matrices,LA,LA-M1U2,1,1,10,2,source/Syllabus_Linear_Algebra.pdf
matrix-addition,Matrix Addition,method,3,linear-algebra,Adding two matrices of identical dimensions entry by entry.,addition of matrices,LA,LA-M3U1|LA-M4U1,2,1,2,3,source/Syllabus_Linear_Algebra.pdf
matrix-modelling,Modelling Real Situations with Vectors and Matrices,method,3,linear-algebra,"The practice of translating a real problem — a small economic balance, a data-analysis task — into vectors and matrices so that it becomes a solvable system.",applications for SLE|linear modelling,LA,LA-M2U1|LA-M7U1,2,1,5,3,source/Syllabus_Linear_Algebra.pdf
matrix-multiplication,Matrix Multiplication,method,3,linear-algebra,Combining two matrices into a third whose entries are dot products of rows with columns; it corresponds to performing one transformation after another and is not commutative.,product of matrices,LA,LA-M3U2|LA-M4U1|LA-M7U1,3,1,4,4,source/Syllabus_Linear_Algebra.pdf
matrix-transposition,Matrix Transposition,method,3,linear-algebra,Reflecting a matrix across its main diagonal so that rows become columns; the operation behind symmetric matrices and many identities.,transpose|transposition,LA,LA-M3U1|LA-M4U1,2,1,2,3,source/Syllabus_Linear_Algebra.pdf
matrix-vector-multiplication,Matrix–Vector Multiplication,method,3,linear-algebra,Applying a matrix to a vector to obtain a new vector; this is the operation that turns a matrix into a transformation and lets an SLE be written as a single equation.,multiplication of matrix by vector,LA,LA-M3U2|LA-M4U1,2,1,6,2,source/Syllabus_Linear_Algebra.pdf
mean-value-theorem-for-integrals,Mean Value Theorem for Integrals,principle,4,calculus,A continuous function attains its average value over an interval at some interior point.,,CALC,CALC-L12,1,1,1,1,source/Syllabus_Calculus.pdf
multiplication-rule,Multiplication Rule,principle,2,probability,"When choices are made in sequence, the number of outcomes is the product of the counts.",,PROB,PROB-P06,1,1,2,1,source/Syllabus_Probability_essentials.pdf
negation-of-claim,Building Negations to Claims,method,2,probability,"Turning a statement, including quantified ones, into its correct denial — the skill behind complementary events.",negation,PROB,PROB-P03,1,1,2,1,source/Syllabus_Probability_essentials.pdf
newton-leibniz-formula,Newton–Leibniz Formula,principle,3,calculus,The fundamental link: a definite integral equals the increment of any antiderivative across the interval.,fundamental theorem of calculus,CALC,CALC-L12,1,1,2,1,source/Syllabus_Calculus.pdf
nonlinear-embedding,t-SNE / UMAP,method,4,machine-learning,Non-linear dimensionality reduction aimed at preserving local neighbourhoods for visualisation.,UMAP|t-SNE,ML,ML-M2,1,1,2,1,source/Syllabus_Machine_Learning.pdf
number-e,The Number e,definition,2,calculus,"The limit of (1+1/n)^n, the base of the natural exponential and logarithm.",Euler's number,CALC,CALC-L01,1,1,1,1,source/Syllabus_Calculus.pdf
one-sided-limit,One-Sided Limit,definition,2,calculus,The limit taken as the argument approaches a point from only the left or only the right.,one-sided limits,CALC,CALC-L02,1,1,1,1,source/Syllabus_Calculus.pdf
overfitting,Overfitting,principle,3,machine-learning,Fitting noise in the training data so that performance on unseen data degrades.,,ML,ML-M1,1,1,6,1,source/Syllabus_Machine_Learning.pdf
pca,Principal Component Analysis,method,4,machine-learning,"Projecting data onto the directions of greatest variance, found from the eigenstructure of its covariance matrix.",PCA,ML,ML-M2,1,1,6,1,source/Syllabus_Machine_Learning.pdf
permutation,Permutation,definition,3,probability,An arrangement of objects where order matters.,permutations,PROB,PROB-P07,1,1,2,1,source/Syllabus_Probability_essentials.pdf
posterior-probability,A Posteriori Probability,definition,4,probability,The updated probability of a hypothesis after evidence has been observed.,,PROB,PROB-P13,1,1,1,1,source/Syllabus_Probability_essentials.pdf
power-series,Power Series,definition,4,calculus,"A series in powers of the variable, which behaves like a polynomial inside its region of convergence.",,CALC,CALC-L15,1,1,3,1,source/Syllabus_Calculus.pdf
precision,Precision,metric,3,machine-learning,The share of predicted positives that are actually positive.,,ML,ML-M6,1,1,3,1,source/Syllabus_Machine_Learning.pdf
probability,Probability,definition,2,probability,"A number between 0 and 1 assigned to an event, measuring how likely it is.",probability definition,PROB,PROB-P09,1,1,7,1,source/Syllabus_Probability_essentials.pdf
probability-rules,Rules of Probability,principle,3,probability,"The axioms and their consequences: complement, addition for unions, monotonicity.",,PROB,PROB-P09,1,1,2,1,source/Syllabus_Probability_essentials.pdf
random-distribution,Random Distribution,definition,3,probability,The assignment of probabilities to the values a random variable can take.,probability distribution|random distributions,PROB,PROB-P15,1,1,6,1,source/Syllabus_Probability_essentials.pdf
random-forest,Random Forest,method,4,machine-learning,Bagged decision trees with additional random feature subsampling at each split.,,ML,ML-M5,1,1,2,1,source/Syllabus_Machine_Learning.pdf
random-variable,Random Variable,definition,3,probability,A numerical quantity whose value is determined by the outcome of a random experiment.,random variables,PROB,PROB-P15,1,1,3,1,source/Syllabus_Probability_essentials.pdf
recall,Recall,metric,3,machine-learning,The share of truly positive cases the model retrieves.,sensitivity,ML,ML-M6,1,1,3,1,source/Syllabus_Machine_Learning.pdf
reflection,Reflection (Symmetry),method,4,linear-algebra,"A transformation mirroring the plane across a line, expressible as a matrix and reversing orientation.",symmetry,LA,LA-M6U2,1,1,4,2,source/Syllabus_Linear_Algebra.pdf
regression,Regression,method,2,machine-learning,Supervised prediction of a continuous numeric value.,,ML,ML-M1,1,1,3,1,source/Syllabus_Machine_Learning.pdf
regularization,Regularization,principle,4,machine-learning,Deliberately constraining a model to reduce overfitting at the cost of some training fit.,regularisation,ML,ML-M4,1,1,5,1,source/Syllabus_Machine_Learning.pdf
roc-auc,ROC / AUC,metric,4,machine-learning,"The curve of true against false positive rates over all thresholds, and the area beneath it.",AUC|ROC,ML,ML-M6,1,1,3,1,source/Syllabus_Machine_Learning.pdf
rolles-theorem,Rolle's Theorem,principle,3,calculus,"A function continuous on a closed interval, differentiable inside it and equal at the endpoints has a stationary point strictly inside.",,CALC,CALC-L06,1,1,2,1,source/Syllabus_Calculus.pdf
rotation,Rotation,method,4,linear-algebra,"A transformation turning the plane about a point by a fixed angle, expressible as a matrix built from sine and cosine.",rotations,LA,LA-M6U2,1,1,3,2,source/Syllabus_Linear_Algebra.pdf
row-echelon-form,Row-Echelon Form,definition,2,linear-algebra,"A staircase shape for a matrix in which each leading entry sits strictly to the right of the one above it, making the solution of the corresponding system readable almost directly.",echelon form,LA,LA-M1U3|LA-M2U2,2,1,3,2,source/Syllabus_Linear_Algebra.pdf
scalar-multiplication,Scalar Multiplication,method,3,linear-algebra,"Multiplying every entry of a vector or matrix by the same number, which stretches, shrinks or flips it without changing its shape.",multiplication by a scalar,LA,LA-M2U3|LA-M4U1,2,1,3,3,source/Syllabus_Linear_Algebra.pdf
scaling,Scaling,method,3,linear-algebra,"A transformation stretching or shrinking the plane along its axes, the simplest case of a matrix acting geometrically.",stretching,LA,LA-M6U2,1,1,3,1,source/Syllabus_Linear_Algebra.pdf
second-derivative-test,Second Derivative Test,method,3,calculus,Classifying a stationary point as a minimum or maximum by the sign of the second derivative there.,,CALC,CALC-L09,1,1,3,1,source/Syllabus_Calculus.pdf
sequence,Sequence,definition,1,calculus,An ordered infinite list of numbers indexed by the natural numbers.,sequences,CALC,CALC-L01,1,1,1,1,source/Syllabus_Calculus.pdf
series,Series,definition,3,calculus,"The formal sum of infinitely many terms, studied through the limit of its partial sums.",numerical series,CALC,CALC-L14,1,1,4,2,source/Syllabus_Calculus.pdf
set,Set,definition,1,probability,A collection of distinct objects considered as one whole.,sets,PROB,PROB-P04,1,1,6,2,source/Syllabus_Probability_essentials.pdf
set-operations,Set Operations,method,2,probability,"Union, intersection, difference and complement, the operations mirrored later by operations on events.",,PROB,PROB-P04,1,1,4,1,source/Syllabus_Probability_essentials.pdf
solution-set-of-sle,Solution Set of an SLE,definition,3,linear-algebra,"The full set of assignments satisfying a system: it may be empty, a single point, or an infinite family, and which case holds can be read off the row-echelon form.",consistency of a system|solutions for SLE,LA,LA-M2U1|LA-M2U2,2,1,4,2,source/Syllabus_Linear_Algebra.pdf
solving-sle-with-inverse,Solving an SLE via the Inverse Matrix,method,4,linear-algebra,Writing a square system as a single matrix equation and solving it by multiplying both sides by the inverse — an alternative strategy to elimination.,matrix method for SLE,LA,LA-M5U1|LA-M6U1,2,1,5,3,source/Syllabus_Linear_Algebra.pdf
special-limits,Special Limits,principle,2,calculus,The small catalogue of standard limits that serve as building blocks for evaluating harder ones.,,CALC,CALC-L03,1,1,1,1,source/Syllabus_Calculus.pdf
special-matrices,Special Matrices,definition,3,linear-algebra,"Named matrix shapes that behave in particular ways — identity, zero, diagonal, square, symmetric — which act as the reference points for later operations.",diagonal matrix|identity matrix,LA,LA-M2U3,1,1,3,1,source/Syllabus_Linear_Algebra.pdf
stacking,Stacking and Blending,method,5,machine-learning,Training a further model to combine the predictions of the base models.,blending,ML,ML-M5,1,1,2,1,source/Syllabus_Machine_Learning.pdf
standard-deviation,Standard Deviation,metric,3,probability,"The square root of the variance, expressing spread in the units of the variable.",,PROB,PROB-P16,1,1,2,1,source/Syllabus_Probability_essentials.pdf
subset,Subset,definition,1,probability,A set all of whose elements belong to another set.,subsets,PROB,PROB-P04,1,1,2,1,source/Syllabus_Probability_essentials.pdf
supervised-learning,Supervised Learning,definition,2,machine-learning,Learning a mapping from inputs to known target values using labelled examples.,,ML,ML-M1,1,1,10,1,source/Syllabus_Machine_Learning.pdf
system-of-linear-equations,System of Linear Equations (SLE),definition,1,linear-algebra,A finite collection of linear equations that must hold simultaneously for the same set of unknowns; a solution is any assignment of values satisfying all of them at once.,SLE|system of equations,LA,LA-M1U1|LA-M2U2,2,1,9,3,source/Syllabus_Linear_Algebra.pdf
taylor-series,Taylor Series,definition,4,calculus,The power series generated by a function's derivatives at a point.,,CALC,CALC-L15,1,1,3,1,source/Syllabus_Calculus.pdf
taylors-formula,Taylor's Formula,principle,4,calculus,"An approximation of a smooth function near a point by a polynomial built from its derivatives, with a controlled remainder.",Taylor expansion,CALC,CALC-L08,1,1,3,1,source/Syllabus_Calculus.pdf
total-probability-law,Total Probability Law,principle,4,probability,Decomposing an event's probability across a partition of the event space; the chain rule of probability.,chain rule,PROB,PROB-P12,1,1,2,1,source/Syllabus_Probability_essentials.pdf
train-validation-split,Train/Validation Split,method,2,machine-learning,Holding out part of the data to estimate performance on examples not used for fitting.,train/validation splits,ML,ML-M1,1,1,3,1,source/Syllabus_Machine_Learning.pdf
training-loop,Training Loop,method,3,machine-learning,"The repeated cycle of forward pass, loss evaluation, gradient computation and weight update.",,ML,ML-M3,1,1,5,1,source/Syllabus_Machine_Learning.pdf
